500 1494
177 178 34
217 220 48
113 115 67
113 116 51
177 179 55
225 227 26
329 330 4
169 172 13
225 228 60
329 331 11
474 475 78
113 114 8
18 19 4
329 332 36
474 476 17
225 226 95
474 477 63
63 64 38
63 65 32
362 365 9
410 411 79
63 66 100
362 364 56
18 21 81
370 371 80
370 372 16
370 373 67
177 180 11
18 20 20
410 413 32
482 485 63
410 412 41
482 484 46
482 483 2
185 187 58
185 188 23
185 186 10
85 86 25
85 88 86
85 87 44
402 403 21
402 404 29
402 405 87
169 171 28
169 170 53
466 468 15
105 106 47
217 219 73
466 469 59
105 107 2
217 218 96
105 108 18
466 467 92
354 356 36
354 357 41
354 355 45
193 194 75
490 492 4
490 493 93
193 196 64
193 195 74
490 491 41
208 209 19
458 459 96
345 348 89
449 452 47
345 347 48
345 346 8
449 450 7
449 451 73
97 98 25
97 99 1
53 55 73
53 56 31
234 236 1
53 54 46
234 237 90
298 299 31
121 122 89
289 291 50
289 290 5
121 124 97
121 123 57
289 292 45
208 211 99
362 363 63
234 235 20
208 210 94
75 78 21
458 460 78
75 77 47
75 76 11
458 461 61
168 171 64
168 170 22
328 329 29
114 116 22
218 220 100
114 117 83
114 115 4
218 221 52
186 187 87
168 169 38
475 476 86
475 477 58
475 478 76
363 364 34
28 31 64
363 366 100
401 403 76
363 365 5
401 404 41
401 402 17
120 121 95
353 355 96
481 484 86
353 356 75
481 483 78
218 219 59
199 200 81
199 201 80
28 30 4
199 202 36
481 482 74
353 354 3
491 493 15
130 131 27
491 494 54
130 132 23
130 133 33
491 492 40
241 244 57
241 243 36
28 29 96
296 297 7
328 330 20
328 331 78
242 245 13
242 244 89
242 243 36
457 459 59
457 458 11
16 19 10
16 18 83
16 17 76
241 242 76
65 66 31
192 193 7
297 299 14
65 68 48
192 195 13
65 67 32
192 194 50
297 298 55
120 123 47
120 122 70
198 200 89
198 201 100
131 133 63
131 134 72
186 188 53
38 39 10
186 189 16
346 347 41
87 89 88
346 348 82
87 88 12
346 349 93
457 460 28
38 41 49
235 236 23
235 237 88
235 238 69
87 90 53
224 225 89
224 227 6
38 40 45
224 226 29
179 182 70
319 321 90
319 320 47
179 180 19
179 181 26
319 322 63
227 230 69
360 363 46
360 362 86
360 361 90
21 24 75
327 329 71
21 23 6
21 22 20
327 328 38
175 176 47
279 280 50
279 281 63
103 106 48
103 105 66
103 104 87
476 477 28
279 282 70
131 132 41
327 330 54
476 478 47
227 228 16
476 479 79
227 229 32
456 459 43
456 458 18
43 44 71
43 45 91
456 457 2
43 46 77
497 500 60
412 413 44
412 415 8
412 414 44
403 404 81
447 449 37
197 200 92
232 234 95
232 235 88
61 64 80
61 63 34
106 107 83
232 233 1
61 62 61
106 108 96
106 109 71
347 350 3
240 243 6
240 242 84
447 448 19
240 241 15
403 405 80
403 406 10
356 358 48
356 359 57
356 357 7
191 194 54
191 193 91
191 192 98
132 133 48
260 261 87
132 134 41
260 262 20
132 135 69
219 222 81
260 263 3
219 221 40
83 84 49
219 220 32
83 85 14
83 86 19
447 450 89
176 177 35
176 178 3
176 179 75
112 114 19
112 115 36
112 113 50
484 487 10
347 348 88
484 486 76
347 349 62
484 485 2
31 32 28
31 34 27
31 33 85
178 180 9
178 181 41
483 484 79
477 480 64
178 179 57
95 98 1
95 97 85
95 96 99
226 228 22
226 229 24
226 227 59
51 52 75
51 54 77
51 53 49
455 458 9
455 457 89
455 456 59
411 414 63
411 413 51
104 106 84
411 412 60
104 107 38
104 105 77
184 186 66
184 187 20
184 185 35
140 141 21
73 75 98
140 143 11
73 76 32
140 142 18
477 478 49
477 479 89
73 74 38
355 357 16
355 358 56
448 450 44
183 185 71
183 186 73
183 184 49
404 405 75
404 406 52
404 407 92
448 451 96
355 356 52
348 351 74
233 234 42
233 235 72
233 236 73
348 350 42
261 264 53
261 263 68
261 262 88
326 328 92
326 329 24
41 44 67
483 486 52
41 43 86
348 349 8
483 485 2
41 42 20
133 135 28
111 112 3
133 136 21
111 113 93
111 114 20
133 134 25
448 449 60
326 327 29
190 191 20
361 362 41
190 193 62
361 364 13
190 192 34
361 363 34
317 318 32
317 319 86
157 160 40
189 191 72
189 190 19
205 207 69
205 208 71
494 495 22
189 192 65
157 159 26
499 500 56
46 47 21
205 206 63
46 49 20
46 48 3
91 93 100
237 238 22
91 94 87
91 92 79
237 239 70
157 158 24
374 375 88
374 376 90
374 377 55
454 455 9
454 456 100
454 457 56
342 343 74
342 345 47
422 424 58
269 272 39
342 344 8
422 425 36
269 271 41
269 270 20
422 423 82
141 144 43
141 143 92
237 240 30
141 142 37
173 174 84
173 176 81
173 175 80
24 25 4
24 26 57
24 27 53
317 320 77
389 391 48
301 302 88
389 390 1
301 303 23
301 304 61
58 59 26
438 441 75
438 440 19
12 13 97
221 222 78
299 301 42
478 479 65
299 302 83
12 15 35
117 118 10
12 14 90
299 300 84
221 224 28
221 223 20
254 256 61
262 263 49
358 360 81
254 257 41
262 265 89
58 60 94
262 264 94
117 119 38
254 255 74
358 361 88
58 61 93
293 294 49
478 481 63
293 296 45
478 480 57
117 120 42
293 295 49
34 36 82
34 37 79
34 35 66
278 281 68
373 374 61
278 280 5
278 279 29
405 407 63
405 408 37
405 406 1
462 463 60
469 470 64
469 471 92
462 465 96
469 472 3
462 464 20
101 104 19
438 439 84
101 103 20
101 102 81
358 359 44
389 392 11
102 105 18
102 104 30
463 466 69
463 465 28
463 464 52
498 500 39
158 161 91
268 269 81
236 238 74
318 319 97
236 239 44
236 237 67
102 103 97
7 8 18
7 9 79
453 455 35
453 456 54
453 454 79
341 344 39
341 343 90
341 342 29
268 270 9
268 271 54
142 143 25
81 84 96
174 177 21
81 83 5
174 176 42
81 82 2
174 175 4
158 159 58
375 376 7
318 321 67
318 320 65
375 377 55
375 378 42
423 425 51
158 160 87
206 207 94
423 426 93
206 208 66
263 266 75
206 209 21
263 265 93
423 424 53
118 119 41
468 469 35
253 255 98
263 264 68
298 300 58
253 256 19
298 301 90
252 253 30
253 254 94
357 360 44
439 442 51
44 45 13
44 46 49
439 441 16
44 47 24
439 440 29
93 95 52
93 96 21
302 304 42
93 94 66
302 305 86
142 145 23
142 144 51
302 303 7
406 407 3
406 408 91
406 409 26
175 177 28
175 178 17
357 359 40
468 471 87
468 470 35
357 358 90
292 295 16
479 481 2
292 294 63
479 480 94
22 25 46
118 120 16
22 24 62
479 482 76
22 23 72
118 121 40
71 72 79
292 293 53
71 74 2
71 73 49
452 454 27
452 455 62
452 453 40
5 6 29
5 7 65
280 282 85
420 422 99
5 8 70
280 283 8
420 423 29
88 89 92
280 281 56
420 421 82
464 465 50
8 11 93
464 467 32
464 466 35
496 497 8
159 160 88
407 408 59
496 498 64
159 161 82
496 499 79
159 162 21
239 241 18
88 91 96
239 240 94
88 90 93
239 242 60
407 409 89
207 210 29
8 10 82
207 209 55
115 116 95
492 493 92
115 117 13
359 361 44
492 494 57
115 118 67
207 208 78
359 360 37
492 495 14
359 362 56
407 410 64
66 68 53
66 69 99
300 302 72
66 67 26
300 303 45
252 254 72
252 255 4
220 221 27
480 483 53
300 301 100
480 482 34
220 223 37
480 481 25
220 222 5
48 50 44
436 439 71
436 438 20
296 298 77
296 299 82
387 389 50
387 388 76
295 296 36
295 298 85
295 297 86
467 468 99
467 469 40
48 51 95
171 174 25
251 253 82
171 173 93
251 254 83
48 49 29
251 252 86
171 172 2
436 437 36
387 390 62
223 224 94
467 470 58
143 146 25
143 145 89
143 144 18
267 270 13
223 226 71
187 190 39
223 225 11
267 268 2
187 189 93
187 188 50
26 27 94
26 29 93
26 28 87
267 269 87
56 59 45
495 497 23
56 58 51
371 372 20
495 498 55
56 57 85
495 496 95
238 241 55
188 189 58
238 240 98
371 373 38
3 4 46
371 374 87
3 5 71
14 16 91
408 409 34
3 6 99
14 17 28
14 15 79
316 319 46
421 423 27
316 318 6
421 424 23
316 317 28
373 375 90
373 376 11
493 495 37
493 496 2
493 494 99
188 190 72
188 191 63
421 422 4
78 79 38
408 411 96
36 39 57
465 466 24
36 38 97
36 37 46
465 468 2
465 467 57
238 239 57
343 346 94
343 345 97
343 344 64
78 80 89
116 119 53
78 81 10
116 118 69
116 117 52
408 410 45
172 175 37
172 174 38
172 173 25
344 345 36
437 440 30
344 347 49
388 390 79
344 346 73
388 391 1
388 389 96
294 297 61
294 296 52
222 223 93
294 295 85
222 225 90
222 224 76
250 252 50
266 267 35
250 253 34
266 269 3
266 268 80
315 318 41
68 70 28
315 317 30
250 251 19
100 103 54
450 452 47
100 102 41
450 453 64
68 71 85
100 101 26
437 438 14
68 69 12
437 439 98
494 496 55
372 373 13
494 497 13
372 374 27
372 375 34
144 145 70
315 316 77
144 147 28
209 212 67
144 146 33
209 210 29
209 211 2
52 54 71
145 148 67
249 252 21
52 55 21
145 147 84
29 32 99
145 146 54
249 250 37
1 2 76
52 53 30
249 251 43
1 3 100
1 4 52
442 445 88
442 444 88
442 443 71
29 30 8
137 140 45
29 31 93
305 306 17
305 307 13
305 308 5
450 451 65
330 331 29
290 293 14
330 332 68
290 292 80
330 333 72
74 77 49
290 291 62
74 76 9
74 75 63
153 154 74
137 139 84
137 138 93
498 499 22
409 412 84
409 411 10
409 410 67
386 389 22
386 388 88
386 387 96
434 437 8
434 436 12
434 435 77
96 97 62
96 98 66
274 276 96
96 99 55
274 277 44
425 427 94
425 428 46
378 380 11
128 129 70
210 211 71
86 88 53
210 212 71
86 89 89
210 213 36
273 274 63
273 275 82
86 87 45
273 276 16
40 43 80
40 42 41
40 41 2
265 268 40
369 372 6
265 267 25
265 266 38
369 370 55
369 371 70
378 379 86
425 426 43
489 491 1
489 490 74
201 202 36
489 492 18
201 204 45
314 317 38
201 203 81
314 316 25
314 315 33
154 156 15
282 284 85
128 130 9
154 157 49
282 285 43
128 131 66
154 155 7
282 283 85
64 65 97
64 67 23
64 66 85
399 400 46
451 453 61
451 454 6
451 452 37
393 394 23
378 381 54
393 395 16
399 401 30
393 396 62
399 402 26
441 442 99
99 101 59
441 444 28
99 102 3
441 443 85
99 100 97
258 259 71
291 292 41
291 294 56
291 293 55
39 42 32
146 147 86
418 419 13
497 499 47
306 308 23
306 309 23
497 498 1
146 149 67
146 148 22
306 307 62
39 41 54
39 40 43
331 333 10
331 334 33
385 388 64
331 332 43
385 387 61
385 386 71
418 420 66
17 19 16
136 137 64
17 18 10
136 138 72
136 139 86
418 421 10
152 154 44
152 155 33
258 260 49
258 261 50
152 153 100
17 20 49
54 56 12
54 57 51
274 275 17
27 30 62
54 55 39
368 371 11
368 370 63
264 265 90
379 382 36
435 436 51
264 267 89
379 380 71
435 438 21
264 266 58
379 381 85
435 437 68
424 426 45
275 276 16
424 427 22
275 277 96
275 278 81
424 425 26
313 314 39
313 316 84
313 315 28
27 29 5
27 28 86
417 420 86
257 260 85
49 51 40
153 155 65
398 400 77
49 50 77
76 77 34
153 156 67
398 401 65
417 419 99
76 78 48
417 418 65
76 79 44
170 173 66
170 172 73
170 171 32
368 369 82
49 52 79
129 130 30
281 283 35
129 131 47
281 284 87
257 259 11
257 258 91
202 203 74
202 204 57
202 205 87
98 99 79
129 132 6
281 282 89
247 248 57
147 150 99
247 249 13
10 11 46
10 12 56
10 13 72
340 343 92
340 342 51
432 435 93
432 434 15
135 136 17
98 100 55
384 387 25
98 101 78
384 386 84
135 137 97
135 138 90
432 433 73
127 130 41
397 400 68
460 461 30
460 463 28
460 462 52
32 33 9
419 422 68
32 35 62
32 34 78
163 164 38
147 149 61
147 148 21
163 166 72
163 165 22
247 250 64
332 333 8
332 334 40
332 335 7
127 128 16
127 129 3
419 420 87
419 421 91
50 51 5
312 315 7
312 314 99
50 53 29
312 313 63
50 52 35
376 377 84
376 378 73
427 430 43
376 379 49
119 121 98
119 120 91
119 122 25
284 287 51
284 286 27
284 285 53
160 162 80
160 163 35
276 277 77
72 74 28
72 75 72
160 161 79
276 278 82
72 73 23
276 279 75
212 213 76
384 385 63
303 304 97
303 305 92
303 306 64
212 214 30
212 215 78
440 443 45
297 300 29
440 442 23
203 205 46
340 341 2
440 441 14
203 206 29
203 204 89
256 257 73
94 97 6
256 258 83
427 429 90
94 96 71
256 259 82
94 95 1
427 428 85
134 135 90
204 205 57
134 136 48
204 206 3
134 137 5
204 207 21
84 85 31
156 158 32
156 159 14
84 87 25
84 86 94
156 157 51
42 45 10
148 150 94
42 44 18
42 43 2
148 151 35
461 462 4
248 249 12
126 127 57
433 434 20
433 436 31
433 435 10
126 129 64
126 128 98
62 63 76
62 64 6
62 65 61
20 22 61
311 314 55
20 23 12
97 100 49
311 313 18
20 21 85
148 149 5
162 164 5
311 312 92
162 165 11
248 250 58
248 251 70
162 163 24
161 162 75
161 163 26
161 164 82
333 334 52
377 379 96
377 378 64
333 335 82
333 336 24
426 428 16
426 429 89
426 427 2
211 213 79
377 380 48
211 214 31
211 212 34
283 285 29
283 286 84
283 284 89
304 306 84
304 307 1
255 257 55
30 31 49
255 258 47
30 32 94
30 33 66
255 256 65
461 464 64
461 463 17
277 278 94
277 279 19
19 22 93
277 280 42
383 386 12
383 385 24
383 384 79
155 157 97
155 158 94
19 20 1
19 21 100
304 305 89
155 156 56
382 385 10
382 384 84
35 38 90
35 37 13
35 36 54
382 383 76
80 83 1
309 312 74
80 82 22
80 81 90
125 126 11
197 198 41
229 230 24
